iter	RMSE
284	8356.974739
285	8353.359518
286	8349.593846
287	8345.330449
288	8341.906611
289	8339.334975
290	8336.587759
291	8333.052046
292	8328.806105
293	8325.359086
294	8322.411467
295	8317.909013
296	8314.17476
297	8312.543876
298	8308.24354
299	8304.91864
300	8302.73001
301	8300.072092
302	8296.604302
303	8292.683111
304	8289.574867
305	8286.964065
306	8284.794658
307	8278.223819
308	8276.149577
309	8272.190498
310	8267.991348
311	8263.742584
312	8261.050937
313	8258.989311
314	8254.956856
315	8251.476029
316	8247.716502
317	8243.99033
318	8240.782899
319	8237.913502
320	8233.615941
321	8231.024969
322	8229.021255
323	8225.077715
324	8221.614702
325	8217.998548
326	8212.857111
327	8206.863471
328	8204.180197
329	8200.590385
330	8198.401455
331	8194.870332
332	8190.72727
333	8188.344953
334	8185.253703
335	8181.379186
336	8177.970522
337	8174.086352
338	8171.968533
339	8169.515192
340	8167.737943
341	8165.976828
342	8163.033972
343	8161.007812
344	8159.038436
345	8153.593612
346	8151.534814
347	8148.578505
348	8146.312017
349	8143.850763
350	8141.011353
351	8139.972729
352	8138.065246
353	8134.048022
354	8131.30932
355	8130.249972
356	8128.127815
357	8125.283247
358	8121.666242
359	8118.705399
360	8115.963336
361	8112.470162
362	8110.412632
363	8107.132369
364	8104.645185
365	8102.720524
366	8101.500958
367	8099.216083
368	8097.341031
369	8093.770761
370	8090.587701
371	8087.388891
372	8083.84082
373	8080.880967
374	8078.036928
375	8076.122622
376	8073.631267
377	8072.490497
378	8070.063942
379	8066.173523
380	8063.776921
381	8060.88348
382	8056.727789
383	8054.257579
384	8050.770826
385	8048.066478
386	8044.735258
387	8042.667811
388	8039.920401
389	8038.350527
390	8035.232509
391	8032.443687
392	8030.077711
393	8027.426023
394	8024.163619
395	8021.510821
396	8019.531612
397	8017.53859
398	8015.404277
399	8013.351407
400	8010.947927
401	8008.890445
402	8005.734106
403	8003.002589
404	7999.69451
405	7997.69236
406	7994.955691
407	7991.998278
408	7989.619584
409	7987.126271
410	7984.727608
411	7983.239965
412	7980.710045
413	7978.575908
414	7977.476018
415	7974.450393
416	7970.367481
417	7967.981597
418	7966.51209
419	7964.087523
420	7960.669186
421	7959.202687
422	7957.771688
423	7954.641495
424	7953.167222
425	7950.913818
426	7949.161598
427	7947.901914
428	7945.891064
429	7944.309705
430	7941.253054
431	7938.448967
432	7936.903113
433	7934.912438
434	7933.304495
435	7931.396838
436	7929.197641
437	7926.551793
438	7925.692508
439	7924.568296
440	7923.467747
441	7922.0311
442	7920.659376
443	7918.028774
444	7916.713639
445	7915.164896
446	7912.860833
447	7910.656114
448	7908.784404
449	7906.704005
450	7904.880167
451	7902.703404
452	7900.789441
453	7898.300971
454	7897.098683
455	7895.628758
456	7893.124439
457	7889.817786
458	7887.15876
459	7885.348691
460	7883.695655
461	7882.483216
462	7880.845433
463	7878.408066
464	7877.474519
465	7874.230626
466	7872.979272
467	7871.990204
468	7870.498696
469	7867.857176
470	7866.194799
471	7863.154516
472	7861.551136
473	7859.403325
474	7858.372496
475	7855.64333
476	7854.38775
477	7852.36111
478	7851.168516
479	7849.433955
480	7847.903752
481	7846.583518
482	7844.204816
483	7842.5892
484	7841.132564
485	7839.383725
486	7837.41488
487	7834.600198
488	7833.433037
489	7831.829876
490	7829.892229
491	7827.23247
492	7824.718685
493	7823.506166
494	7822.07551
495	7820.715581
496	7820.03729
497	7818.870154
498	7817.316339
499	7815.869449
500	7814.469356
501	7812.171578
502	7810.567504
503	7808.488671
504	7807.368917
505	7805.617625
506	7803.575543
507	7801.583213
508	7800.782412
509	7799.692142
510	7797.96912
511	7796.233101
512	7794.044614
513	7792.162385
514	7790.803628
515	7788.804621
516	7786.830582
517	7785.719511
518	7782.843867
519	7780.732068
520	7779.003307
521	7777.808036
522	7775.797986
523	7773.478283
524	7771.876764
525	7770.036933
526	7768.490785
527	7766.344579
528	7765.145603
529	7763.841377
530	7761.852726
531	7760.32564
532	7758.225893
533	7757.068827
534	7755.749534
535	7754.71954
536	7752.852264
537	7750.742193
538	7749.649386
539	7748.618112
540	7746.715316
541	7745.308042
542	7743.73894
543	7741.45881
544	7739.859233
545	7738.102381
546	7735.640407
547	7733.819894
548	7732.457714
549	7729.604114
550	7728.463191
551	7726.971602
552	7725.517022
553	7723.73884
554	7722.209413
555	7721.021345
556	7719.466953
557	7718.227978
558	7716.957105
559	7715.511797
560	7714.019608
561	7712.567067
562	7711.168716
563	7709.068412
564	7707.894328
565	7706.647966
566	7704.49698
567	7703.66414
568	7702.415896
569	7701.142275
570	7699.561326
571	7698.341485
572	7696.110634
573	7695.283478
574	7694.290301
575	7693.467734
576	7692.18598
577	7691.110067
578	7690.208186
579	7688.88598
580	7687.589825
581	7686.46301
582	7684.877028
583	7683.087449
584	7682.078243
585	7680.982266
586	7679.381184
587	7678.119091
588	7677.299262
589	7675.945451
590	7673.933087
591	7672.264153
592	7670.660535
593	7669.287942
594	7667.292955
595	7666.374002
596	7664.167348
597	7662.778699
598	7659.739375
599	7658.624794
600	7656.411934
601	7655.584111
602	7654.734946
603	7653.668844
604	7651.902086
605	7650.942853
606	7649.733544
607	7648.356375
608	7645.836677
609	7644.670571
610	7643.127299
611	7641.332208
612	7639.140002
613	7638.170148
614	7637.360404
615	7636.019023
616	7634.566919
617	7633.323016
618	7631.949174
619	7629.825054
620	7627.854924
621	7624.856389
622	7623.724882
623	7622.891496
624	7621.631221
625	7620.177026
626	7618.182712
627	7616.656288
628	7615.745314
629	7613.745768
630	7612.820958
631	7611.224993
632	7609.576097
633	7607.93416
634	7606.457106
635	7605.311279
636	7604.179194
637	7602.80543
638	7601.564635
639	7599.689162
640	7598.52013
641	7597.103554
642	7595.1075
643	7594.046705
644	7593.054291
645	7592.050011
646	7591.206117
647	7589.727624
648	7588.359858
649	7587.46006
650	7586.099817
651	7584.756481
652	7583.41013
653	7582.760748
654	7581.287938
655	7580.481573
656	7579.426838
657	7578.450665
658	7577.494381
659	7576.358034
660	7575.435122
661	7574.626371
662	7573.495419
663	7572.715744
664	7570.230455
665	7569.374599
666	7568.09159
667	7567.274551
668	7565.443294
669	7564.66626
670	7563.499456
671	7562.288198
672	7559.680416
673	7558.303198
674	7556.88504
675	7556.266163
676	7555.36779
677	7553.745317
678	7552.876573
679	7550.932387
680	7549.834024
681	7548.888235
682	7545.859681
683	7544.947242
684	7543.495741
685	7543.177525
686	7541.697447
687	7540.305593
688	7539.566554
689	7537.665617
690	7536.991514
691	7536.315161
692	7534.835215
693	7534.080298
694	7532.590362
695	7531.450721
696	7530.673804
697	7528.909541
698	7527.731334
699	7526.35578
700	7525.013888
701	7523.902443
702	7523.012154
703	7522.052449
704	7520.887831
705	7520.149462
706	7518.763528
707	7517.995415
708	7517.181884
709	7515.365367
710	7513.604514
711	7512.297775
712	7511.329367
713	7509.659756
714	7508.217149
715	7507.339536
716	7506.367066
717	7505.612714
718	7504.94637
719	7503.989316
720	7501.983419
721	7500.465006
722	7499.365514
723	7498.510752
724	7497.788824
725	7496.534822
726	7495.544538
727	7494.45657
728	7492.990983
729	7491.361568
730	7490.240913
731	7489.34947
732	7487.825792
733	7486.779652
734	7485.898523
735	7485.300291
736	7484.496391
737	7483.585127
738	7482.79688
739	7481.828222
740	7481.057354
741	7479.92173
742	7478.412498
743	7477.38219
744	7476.271763
745	7474.883505
746	7473.595874
747	7473.03236
748	7471.939989
749	7469.978302
750	7469.260512
751	7467.638567
752	7466.431366
753	7464.690256
754	7463.604172
755	7462.310673
756	7461.168488
757	7460.408263
758	7459.704917
759	7458.572198
760	7458.005625
761	7457.206386
762	7456.625436
763	7455.852045
764	7454.660036
765	7453.656059
766	7452.971602
767	7452.021267
768	7450.919359
769	7450.164513
770	7449.73753
771	7449.284855
772	7448.178384
773	7447.34457
774	7445.235452
775	7444.21038
776	7443.587953
777	7441.931117
778	7441.032754
779	7440.288315
780	7438.88784
781	7437.780975
782	7437.091995
783	7436.209137
784	7435.04254
785	7434.054341
786	7432.433635
787	7431.311693
788	7430.523829
789	7429.598034
790	7428.267251
791	7427.45756
792	7425.963388
793	7424.935242
794	7423.432919
795	7422.364471
796	7421.184104
797	7420.474897
798	7419.718884
799	7418.781129
800	7418.071788
801	7417.45214
802	7416.589312
803	7415.492922
804	7414.710056
805	7412.847881
806	7412.010658
807	7410.630342
808	7409.930977
809	7409.244017
810	7408.043064
811	7406.784584
812	7405.592035
813	7404.509055
814	7402.649489
815	7401.423064
816	7399.932049
817	7399.410938
818	7398.223808
819	7397.495354
820	7396.575038
821	7395.730147
822	7395.240471
823	7394.050146
824	7393.156616
825	7391.289714
826	7390.447956
827	7389.50108
828	7388.240929
829	7387.695641
830	7386.134658
831	7385.04783
832	7384.329962
833	7383.310103
834	7382.103396
835	7381.592651
836	7380.848877
837	7380.157165
838	7378.528449
839	7377.781172
840	7376.88265
841	7375.65801
842	7374.573665
843	7373.088986
844	7372.288105
845	7371.210478
846	7370.323906
847	7369.26056
848	7368.579575
849	7367.851759
850	7366.885854
851	7366.028733
852	7364.861074
853	7364.120569
854	7363.2109
855	7361.938753
856	7360.923364
857	7359.438122
858	7359.013585
859	7358.414666
860	7356.766571
861	7355.776366
862	7354.730117
863	7353.588596
864	7352.865088
865	7351.783934
866	7351.061375
867	7350.085855
868	7349.338381
869	7348.504138
870	7347.406523
871	7346.276037
872	7345.376901
873	7344.595586
874	7343.763354
875	7342.34316
876	7341.679807
877	7340.959787
878	7340.271235
879	7339.073759
880	7338.394633
881	7337.248151
882	7336.670648
883	7335.895078
884	7334.971945
885	7334.300552
886	7332.601576
887	7331.923297
888	7331.211369
889	7330.5128
890	7329.730884
891	7328.487759
892	7327.702329
893	7326.810241
894	7326.312802
895	7325.667848
896	7325.352117
897	7323.824273
898	7323.269726
899	7322.545489
900	7321.61496
901	7320.790275
902	7319.695037
903	7318.973245
904	7317.755011
905	7316.393025
906	7315.41914
907	7314.611187
908	7313.807094
909	7312.974478
910	7312.167337
911	7311.349856
912	7310.934156
913	7309.880209
914	7309.328068
915	7308.101582
916	7306.973302
917	7306.3042
918	7305.474226
919	7304.67387
920	7303.978861
921	7303.106211
922	7302.388525
923	7301.370267
924	7300.621893
925	7299.381865
926	7298.537149
927	7297.94313
928	7297.108356
929	7296.22914
930	7295.70458
931	7295.013686
932	7294.392833
933	7293.430713
934	7292.71669
935	7291.642872
936	7290.512981
937	7289.456033
938	7288.947697
939	7288.426361
940	7287.727938
941	7287.137405
942	7285.975864
943	7285.248486
944	7284.604485
945	7284.027222
946	7282.575228
947	7282.26292
948	7281.294834
949	7280.535549
950	7279.896833
951	7279.239172
952	7278.584394
953	7278.027718
954	7277.323963
955	7276.594024
956	7276.147708
957	7275.551123
958	7274.663178
959	7274.114902
960	7272.959025
961	7272.106823
962	7271.706576
963	7270.928707
964	7270.286659
965	7269.599769
966	7268.777518
967	7268.320949
968	7267.757857
969	7266.555522
970	7265.451747
971	7264.536526
972	7263.986119
973	7263.102189
974	7262.359133
975	7261.590385
976	7260.997107
977	7260.330704
978	7259.502459
979	7258.843775
980	7258.306292
981	7257.785865
982	7256.612655
983	7255.39778
984	7254.760247
985	7254.150652
986	7253.578439
987	7252.60345
988	7251.799254
989	7250.610085
990	7249.626855
991	7248.920342
992	7248.223793
993	7247.414933
994	7246.398248
995	7245.235247
996	7244.760683
997	7243.900406
998	7243.310975
999	7242.5941
